title,description,content,url,publishedAt,source,country,category
Travis Kelce Reveals Jaw-Dropping Price of Taylor Swift's Super Bowl Suite - Entertainment Tonight,Travis Kelce let it slip how much Taylor Swift's 2024 Super Bowl suite cost. Find out how much it was.,"Travis Kelce may have just let fans know how much Taylor Swift's suite at the 2024 Super Bowl cost -- and it will blow your mind. 
In a clip from Netflix's new docuseries, Receiver, the 34-year-old … [+3119 chars]",https://www.etonline.com/travis-kelce-reveals-jaw-dropping-price-of-taylor-swifts-super-bowl-suite-228920,2024-07-11T04:11:00Z,Entertainment Tonight,us,politics
Netherlands' Ronald Koeman claims soccer is 'destroyed' after controversial Euro 2024 VAR call - New York Post ,Netherlands head coach Ronald Koeman is fuming over a controversial first-half penalty in his side’s 2-1 loss to England in the 2024 European Championship semifinals.,Netherlands head coach Ronald Koeman is fuming over a controversial first-half penalty in his side’s 2-1 loss to England in the 2024 European Championship semifinals and blamed video assistant refere… [+2394 chars],https://nypost.com/2024/07/10/sports/netherlands-ronald-koeman-claims-soccer-is-destroyed-after-controversial-euro-2024-var-call/,2024-07-11T01:53:00Z,New York Post,us,politics
Nearly 200 cases of dengue virus reported in New York and New Jersey: CDC - ABC News,New York has reported 143 cases and New Jersey has reported 41.,"Nearly 200 people have been infected with dengue in the states of New York and New Jersey so far this year, according to data from the Centers for Disease Control and Prevention.
New York has report… [+1033 chars]",https://abcnews.go.com/Politics/200-cases-dengue-virus-reported-new-york-new/story?id=111831290,2024-07-11T00:25:12Z,ABC News,us,politics
Stock futures are little changed as traders brace for key consumer inflation report: Live updates - CNBC,Investors are preparing for the release of the consumer price index reading for June.,"U.S. stock futures were little changed Wednesday night after both the S&amp;P 500 and Nasdaq Composite closed at new all-time highs.
Futures tied to the broad market index slipped less than 0.1%, as… [+1575 chars]",https://www.cnbc.com/2024/07/10/stock-market-today-live-updates.html,2024-07-10T23:14:00Z,CNBC,us,politics
Northwestern Medicine discovers possible lupus cure - FOX 32 Chicago,"It's one of the most common autoimmune diseases, and now, a key mystery has been solved that could pave the way to a cure.","CHICAGO - It's one of the most common autoimmune diseases, and now, a key mystery has been solved that could pave the way to a cure.
Doctors said this is very exciting news, and they are cautiously … [+1173 chars]",https://www.fox32chicago.com/news/northwestern-medicine-lupus-possible-cure,2024-07-10T22:55:23Z,FOX 32 Chicago,us,politics
PR expert: CenterPoint ‘rapidly losing faith and trust’ with communications decisions after Hurricane Beryl - Houston Public Media,,,https://news.google.com/rss/articles/CBMilgFodHRwczovL3d3dy5ob3VzdG9ucHVibGljbWVkaWEub3JnL2FydGljbGVzL25ld3MvYnVzaW5lc3MvMjAyNC8wNy8xMC80OTMxNzEvY2VudGVycG9pbnQtb3V0YWdlcy1wdWJsaWMtcmVsYXRpb25zLWxvc2luZy1mYWl0aC1ob3VzdG9uLWN1c3RvbWVycy1iZXJ5bC_SAZwBaHR0cHM6Ly93d3cuaG91c3RvbnB1YmxpY21lZGlhLm9yZy9hcnRpY2xlcy9uZXdzL2J1c2luZXNzLzIwMjQvMDcvMTAvNDkzMTcxL2NlbnRlcnBvaW50LW91dGFnZXMtcHVibGljLXJlbGF0aW9ucy1sb3NpbmctZmFpdGgtaG91c3Rvbi1jdXN0b21lcnMtYmVyeWwvP2FtcD0x?oc=5,2024-07-10T21:59:38Z,Google News,us,politics
Exoplanet is first detected with potentially life-supporting atmosphere: NASA - New York Post ,“This would be a major milestone in the search for potentially habitable exoplanets.”,"The James Webb Space Telescope has detected what could be distinct signs of life on a “potentially habitable” world nearly 50 million lightyears away.
Researchers from the Universities of Michigan a… [+2540 chars]",https://nypost.com/2024/07/10/tech/exoplanet-is-first-detected-with-potentially-life-supporting-atmosphere-nasa/,2024-07-10T19:57:00Z,New York Post,us,politics
"Severe heat is scorching West and East coasts, and forecast offers little relief - The Washington Post",Hundreds of records highs have fallen since July 1 -- outnumbering record lows by a factor of 20.,"More than 135 million people across the Lower 48 are under heat alerts Wednesday, including on both coasts and in some of the countrys largest cities. In many cases, the alerts have been up for days … [+4725 chars]",https://www.washingtonpost.com/weather/2024/07/10/heat-wave-forecast-west-east-coasts-records/,2024-07-10T17:52:23Z,The Washington Post,us,politics
Galaxy Buds 3 and Buds 3 Pro pricing revealed for India - SamMobile - Samsung news,After unveiling the Galaxy Buds 3 and the Galaxy Buds 3 Pro globally at the Galaxy Unpacked event in Paris ...,"After unveiling the Galaxy Buds 3 and the Galaxy Buds 3 Pro globally at the Galaxy Unpacked event in Paris a couple of hours ago, Samsung has now launched the two earbuds in India. Heres how much the… [+1066 chars]",https://www.sammobile.com/news/galaxy-buds-buds-3-pro-pricing-revealed-for-india/,2024-07-10T17:38:00Z,SamMobile,us,politics
"Samsung launches first-of-a-kind smart ring, watch with AI features to help monitor your health - New York Post ",The AI deployment on Samsung’s new premium watch and ring is narrowly focused on improving and maintaining personal health — the main reason most people buy wearable technology.,"Samsung is dressing up its wearable devices in technologys latest fashion artificial intelligence.
The South Korean electronics giant on Wednesday revealed that both its first-ever premium smartwatc… [+5113 chars]",https://nypost.com/2024/07/10/business/samsung-launches-first-of-a-kind-smart-ring-watch-with-ai-features/,2024-07-10T16:53:00Z,New York Post,us,politics
